0
Toy Story
Jumanji
Grumpier Old Men
Waiting to Exhale
Father of the Bride Part II
Heat
Tom and Huck
Sudden Death
GoldenEye
The American President
Dracula: Dead and Loving It
Balto
Nixon
Cutthroat Island
Casino
Sense and Sensibility
Four Rooms
Ace Ventura: When Nature Calls
Money Train
Get Shorty
Copycat
Assassins
Powder
Leaving Las Vegas
Othello
Now and Then
Persuasion
Dangerous Minds
Twelve Monkeys
Babe
Carrington
Dead Man Walking
It Takes Two
"Cry, the Beloved Country"
Richard III
Dead Presidents
Restoration
Mortal Kombat
To Die For
How To Make An American Quilt
Se7en
Pocahontas
When Night Is Falling
Mighty Aphrodite
The Big Green
Georgia
Home for the Holidays
The Confessional
The Indian in the Cupboard
Mr. Holland's Opus
Two Bits
Friday
Fair Game
Kicking and Screaming
Screamers
The Crossing Guard
Things to Do in Denver When You're Dead
Angels and Insects
Nick of Time
The Journey of August King
Vampire in Brooklyn
A Midwinter's Tale
Heidi Fleiss: Hollywood Madam
The Bridges of Madison County
Catwalk
Braveheart
Margaret's Museum
Anne Frank Remembered
The Young Poisoner's Handbook
Steal Big Steal Little
Angela
Frankie Starlight
Jade
Sonic Outlaws
From the Journals of Jean Seberg
Man of the Year
The Neon Bible
Virgin Mary
The Brothers McMullen
Bad Boys
The Basketball Diaries
An Awfully Big Adventure
Apollo 13
Rob Roy
The Addiction
Batman Forever
Beyond Rangoon
Blue in the Face
Canadian Bacon
Casper
Clockers
Congo
Crimson Tide
Desperado
Devil in a Blue Dress
Die Hard: With a Vengeance
The Doom Generation
Feast of July
First Knight
Free Willy 2 - The Adventure Home
Hackers
Jeffrey
Johnny Mnemonic
Judge Dredd
Jury Duty
Kids
Living in Oblivion
Lord of Illusions
Mad Love
Mallrats
Mighty Morphin Power Rangers: The Movie
Moonlight and Valentino
The Net
Nine Months
Party Girl
The Prophecy
Reckless
Safe
The Scarlet Letter
Showgirls
Smoke
Something to Talk About
Species
Strange Days
The Tie That Binds
Three Wishes
Total Eclipse
"To Wong Foo, Thanks for Everything! Julie Newmar"
Under Siege 2: Dark Territory
Unstrung Heroes
Unzipped
A Walk in the Clouds
Waterworld
White Man's Burden
Bushwhacked
Before Sunrise
The Babysitter
Boys on the Side
The Cure
Castle Freak
