0
English
English
English
English
"$322,581"
"$322,581"
"$322,581"
$5.5 million[3]
$5.5 million[3]
$5.5 million[3]
$5.5 million[3]
English
English
English
English
English
English
£6 million
"$39,924[1]"
"$39,924[1]"
$26 million
$26 million
English
English
English
US$15.3 million
US$15.3 million
Website
Website
Website
Website
Website
English
English
English
English
English
English
$17.3 million
$7 million[2]
English
"$826,763"
"$826,763"
"$826,763"
"United States
Hungary"
"United States
Hungary"
$4.6 million[3]
$4.6 million[3]
$4.6 million[3]
$4.6 million[3]
English
English
$899 [1]
"£6,000,000"
English
"$8,050 (US)[2]"
English
English
English
English
"$107,559[1]"
"$107,559[1]"
"$107,559[1]"
"$107,559[1]"
"$107,559[1]"
English
"$13,300,000[citation needed]"
"$13,300,000[citation needed]"
English
English
English
English
English
"$507,534[2]"
English
n/a
United Kingdom
English
English
English
English
"$7,000,000 (estimated)"
"$452,558[1]"
"$452,558[1]"
"$81,338[1]"
"$81,338[1]"
"$20,000[1]"
"$20,000[1]"
English
English
Website
Website
Website
Website
Website
Website
Website
"English
German"
"English
German"
"£250,000[5]"
"English
Italian"
"English
Italian"
English
English
24 (season 7)
24 (season 7)
24 (season 7)
24 (season 7)
24 (season 7)
€4.3 million[2]
€4.3 million[2]
$3.75 million
$3.75 million
$3.75 million
French
French
French
English
"German
English
Italian"
"German
English
Italian"
English
"$12,874,899"
English
English
English
"€150,000[5]"
"€150,000[5]"
"€150,000[5]"
"€150,000[5]"
"$28,044 (domestic)[1]"
"$28,044 (domestic)[1]"
$3.3 million[1]
$3.3 million[1]
$3.3 million[1]
$5 million
$5 million
$5 million
$5 million
$5 million
"$2,500,000 (est.)"
"$5,430[1]"
"$5,430[1]"
"$5,430[1]"
"$5,430[1]"
English
English
English
English
English
"$111,551[2]"
"$19,000[2]"
"$19,000[2]"
English
English
English
English
English
English
English
English
English
English
English
English
English
Production website
English
English
English
English
"$13,000,000[1]"
"$13,000,000[1]"
"$13,000,000[1]"
English
English
English
English
English
English
"R33,062,468[1]
$4,918,688"
"$43,600[1]"
"$43,600[1]"
22 November 2008
22 November 2008
22 November 2008
22 November 2008
English
English
English
English
English
English
"$300,447[1]"
"$300,447[1]"
"$300,447[1]"
Anacondas: Trail of Blood
Anacondas: Trail of Blood
"


English


"
"French
German
English"
"French
German
English"
"French
German
English"
English
"$4,000,000 (estimated)"
"$4,000,000 (estimated)"
"$4,000,000 (estimated)"
Annual
"$18,385,964[1][2]"
"$1,997,721[1]"
Danish
Danish
"


January 26, 2008 (2008-01-26)[1]






"
"


January 26, 2008 (2008-01-26)[1]






"
"


January 26, 2008 (2008-01-26)[1]






"
"


January 26, 2008 (2008-01-26)[1]






"
"


January 26, 2008 (2008-01-26)[1]






"
"August 10, 2003 (2003-08-10) – present (present)"
"August 10, 2003 (2003-08-10) – present (present)"
